pred_base,pred_toggle_promo
31375.469254290976,53356.08519682119
37477.35196555323,59457.967908083454
35802.32901816524,57782.94496069546
141560.72267230132,163541.33861483153
37574.81771169364,59555.433654223874
-40619.12027751486,-18638.504334984675
23137.277476984716,1156.6615344544844
31217.84545599982,9237.22951346961
170049.63017198452,192030.24611451474
102780.57222409279,124761.18816662303
92597.97586800973,70617.35992547953
58406.87152074918,80387.4874632794
132225.72952245217,154206.34546498238
61760.81599702275,83741.43193955296
55470.31469872786,77450.93064125809
126704.63634450099,104724.02040197079
96559.04376389804,74578.42782136782
37747.527320757246,59728.14326328747
44208.00702279272,66188.62296532295
68596.4294127445,90577.04535527475
95002.39685675928,116983.01279928948
54904.98586239714,76885.60180492736
211782.66894519635,233763.28488772656
186421.48663754525,208402.10258007544
103189.54388980716,125170.15983233738
82422.82841346582,104403.44435599603
